condition_id,ring number,geology_1,geology_2,geology_3,geology_4,geology_5,geology_6,cutter speed,total thrust,grouting pressure,sync grouting volume,stock solution ratio,foam pressure,expansion rate,dosage,cutter torque,tunneling speed
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59000.0,3.77,0.45,1.5,3.75,10.0,149.4,4080.0,24.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,58600.0,3.6,3.28,2.5,3.67,10.0,149.2,2590.0,1.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,56800.0,4.6,1.47,1.5,3.79,10.0,149.4,4240.0,14.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,57400.0,4.67,2.85,1.5,3.67,10.0,149.0,3660.0,10.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,56800.0,4.6,1.47,1.5,3.79,10.0,149.4,4240.0,14.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,58300.0,3.97,2.85,1.5,3.65,10.0,149.3,3620.0,9.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,60000.0,2.97,7.47,2.5,3.79,10.0,154.2,2580.0,7.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,58900.0,4.1,1.21,1.5,3.78,10.0,149.4,5090.0,17.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59700.0,3.2,3.28,2.5,3.61,10.0,149.2,3000.0,8.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59000.0,3.77,0.45,1.5,3.75,10.0,149.4,4080.0,24.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,57200.0,4.8,2.46,1.5,3.7,10.0,149.3,4110.0,20.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59700.0,4.4,3.53,2.5,3.59,10.0,149.1,3680.0,11.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,58900.0,4.1,1.21,1.5,3.78,10.0,149.4,5090.0,17.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59100.0,3.87,0.86,1.5,3.67,10.0,149.2,4900.0,23.0
3,415.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59500.0,3.27,1.97,2.5,3.67,9.8,138.9,2390.0,3.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,57300.0,4.03,1.73,1.5,3.68,10.0,149.3,3750.0,13.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,56700.0,4.93,1.69,1.5,3.77,10.0,149.2,4080.0,16.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,58900.0,4.1,1.21,1.5,3.78,10.0,149.4,5090.0,17.0
